Title,Region,Url,Min_price
"Анонсирование торгов о продаже части здания: магазин №7 «Хозяюшка» и части здания: мини-пекарня «Пышка», расположенных по адресу: Ямало-Ненецкий автономный округ, Надымский р-н, п Пангоды",Ямало-Ненецкий автономный округ,auction/10118-anonsirovanie-torgov-o-prodazhe-chasti-zdanija-magazin-no7-khozjajushka-i-chasti-zdanija-mini-pekarn/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>3 999 480 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества: 
части административного здания и земельного участка расположенных по адресу: Россия, Республика Адыгея, Красногвардейский район, а. Хатукай, ул. Старокубанская, 2",Республика Адыгея,auction/10100-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-chasti-administrativnogo-zdanija-i-zemel/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 539 740 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества: 
административного здания и права аренды земельного участка расположенных по адресу: Россия, Республика Адыгея, Теучежский район, п.г.т. Тлюстенхабль, ул. Ленина, д. 29 Д",Республика Адыгея,auction/10098-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-administrativnogo-zdanija-i-prava-arend/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>3 517 680 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества: 
административного здания 
и земельного участка расположенных по адресу: 
Россия, Республика Адыгея, Теучежский район, а. Габукай, ул. Хакурате, 30",Республика Адыгея,auction/10096-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-administrativnogo-zdanija-i-zemelnog/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>808 540 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого и движимого имущества Новгородской области, входящих в состав ГНС Пестово, ГУ Хвойная, ГУ Мошенское, МАЗС Боровичи ул. Газа, АГЗС Боровичи ул. Советская",Новгородская область,auction/10069-anonsirovanie-prodazhi-obektov-nedvizhimogo-i-dvizhimogo-imushchestva-novgorodskoi-oblasti-vkhodjashchi/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>31 451 910 руб. 10 коп.				
				
		
	</dd></dl>"
Анонсирование продажи 100 % доли в уставном капитале ООО «Каменский завод газоиспользующего оборудования» и объектов производственной базы в составе: недвижимое имущество – 24 объекта; сооружения – 5 объектов; движимое имущество – 56 объектов; земельный участок общей площадью 82 167 кв.м.,Ростовская область,auction/10065-anonsirovanie-prodazhi-100-doli-v-ustavnom-kapitale-ooo-kamenskii-zavod-gazoispolzujushchego-ob/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>109 926 590 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи двухкомнатной квартиры, расположенной по адресу: г. Самара,  ул. Товарная, д. 13, кв.7",Самарская область,auction/10038-anonsirovanie-prodazhi-dvukhkomnatnoi-kvartiry-raspolozhennoi-po-adresu-g-samara-ul-tovarna/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 314 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи: дом оператора газораспределительной станции «Крестцы», расположенный по адресу: Новгородская область, р-н Крестецкий, Крестецкое городское поселение, с. Ямская Слобода, ул. Ямская, д. 160,  а также право долгосрочной аренды земельного участка, площадью 1433 кв. м.",Новгородская область,auction/10033-anonsirovanie-prodazhi-dom-operatora-gazoraspredelitelnoi-stancii-krestcy-raspolozhennyi-po/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 077 420 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи недвижимого имущества, расположенного по адресу: Вологодская область, г. Вологда, наб. 6 Армии, д. 117,",Вологодская область,auction/10027-anonsirovanie-prodazhi-nedvizhimogo-imushchestva-raspolozhennogo-po-adresu-vologodskaja-oblast-g/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>12 512 984 руб. 80 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества (Алтайский край, г. Бийск, ул. Советская, д. 18а)",Алтайский край,auction/10010-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-altaiskii-krai-g-biisk-ul-sovetskaja/,
"Анонсирование продажи: 
2-ух квартирного дома оператора ГРС «Тосно» с наружным водопроводом, расположенные по адресу: Ленинградская область, Тосненский район, МО ""Тосненское городское поселение"", г. Тосно, шоссе Барыбина, д. 62, а также право долгосрочной аренды земельного участка, площадью 1232 кв. м.",Ленинградская область,auction/10000-anonsirovanie-prodazhi-2-ukh-kvartirnogo-doma-operatora-grs-tosno-s-naruzhnym-vodoprovodom/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 351 787 руб. 86 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи недвижимого имущества - офисного помещения. Адрес имущества: Авенида Таманако, Сентро Эмпресариал Эль Росал, 4-ый этаж, Урбанизация Эль-Росал, район Чакао, Штат Миранда, Каракас, 1060-А, Венесуэла",Венесуэла,auction/9997-anonsirovanie-prodazhi-nedvizhimogo-imushchestva-ofisnogo-pomeshchenija-adres-imushchestva-avenida-tama/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>EUR 1 369 749.44				
				
		
	</dd></dl>"
"Анонсирование продажи нежилого здания площадью 15,4 кв.м, расположенного по адресу: Республика Коми, г. Ухта, ул. Первомайская, д. 18б",Республика Коми,auction/9993-anonsirovanie-prodazhi-nezhilogo-zdanija-ploshchadju-154-kvm-raspolozhennogo-po-adresu-respublika/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>158 520 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов автогазозаправочной станции, расположенных по адресу: Краснодарский край, Красноармейский район, х. Трудобеликовский, ул. Железнодорожная, 6/1",Краснодарский край,auction/9991-anonsirovanie-prodazhi-obektov-avtogazozapravochnoi-stancii-raspolozhennykh-po-adresu-krasnodars/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 943 647 руб. 97 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи нежилых помещений единым лотом:
- общая площадь 1 527,7 кв. м., этаж Цоколь, 1, 2, 3, 4, 5, Мансарда;
- площадью 265,7 кв. м, расположенное в цокольном этаже",Тюменская область,auction/9963-anonsirovanie-prodazhi-nezhilykh-pomeshchenii-edinym-lotom-obshchaja-ploshchad-1-5277-kv-m-ehtazh-cok/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>112 160 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи земельного участка(Нижегородская область, г. Ворсма, ул. И.Г. Завьялова, д.2)",Нижегородская область,auction/9949-anonsirovanie-prodazhi-zemelnogo-uchastkanizhegorodskaja-oblast-g-vorsma-ul-ig-zavjalova/,
"Анонсирование продажи квартиры, расположенной
по адресу: Республика Карелия, Лоухский район, пгт. Лоухи, ул. Первомайская, д. 11, кв. 35",Республика Карелия,auction/9937-anonsirovanie-prodazhi-kvartiry-raspolozhennoipo-adresu-respublika-karelija-loukhskii-raion-p/,
"Анонсирование продажи движимого и недвижимого имущества, расположенного по адресу: Ленинградская область, Ломоносовский район, г.п. Лебяжье, ул. Пляжная, д. 4",Ленинградская область,auction/9934-anonsirovanie-prodazhi-dvizhimogo-i-nedvizhimogo-imushchestva-raspolozhennogo-po-adresu-leningradska/,
"Анонсирование продажи судов внутреннего плавания (1216, т/х разъездной/КС-100Д)",Российская Федерация,auction/9932-anonsirovanie-prodazhi-sudov-vnutrennego-plavanija-1216-tkh-razezdnoiks-100d/,
"Анонсирование продажи судна внутреннего плавания (Буксир-толкач, 2233)",Российская Федерация,auction/9930-anonsirovanie-prodazhi-sudna-vnutrennego-plavanija-buksir-tolkach-2233/,
"Анонсирование продажи судна внутреннего плавания (Баржа-площадка, 97)",Российская Федерация,auction/9928-anonsirovanie-prodazhi-sudna-vnutrennego-plavanija-barzha-ploshchadka-97/,
"Анонсирование продажи судна внутреннего плавания (Гр.шаланда, ШС-40)",Российская Федерация,auction/9926-anonsirovanie-prodazhi-sudna-vnutrennego-plavanija-grshalanda-shs-40/,
"Анонсирование продажи судна внутреннего плавания (Буксирный теплоход, 2670)",Российская Федерация,auction/9922-anonsirovanie-prodazhi-sudna-vnutrennego-plavanija-buksirnyi-teplokhod-2670/,
"Анонсирование продажи судна внутреннего плавания (Водолазный бот, 1268)",Российская Федерация,auction/9920-anonsirovanie-prodazhi-sudna-vnutrennego-plavanija-vodolaznyi-bot-1268/,
"Анонсирование продажи судно внутреннего плавания (Водолазный бот, 1229)",Российская Федерация,auction/9918-anonsirovanie-prodazhi-sudno-vnutrennego-plavanija-vodolaznyi-bot-1229/,
